genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
khet	4	Rcvrn	12.3771	11.953129 	8.324509 	8.465939 	6.033376 	4.554516 	3.569030 
khet	5	Rcvrn		10.77682 	9.90563 		5.86870 		
khet	6	Rcvrn		11.90892 	9.92731 		6.13590 		
khom	1	Rcvrn	13.8755	13.773642 	13.4748 	14.29766 	14.76924 	15.02505 	14.80793 
khom	2	Rcvrn	14.4623	13.976191 	14.1376 	13.67052 	14.68213 	14.16188 	15.02979 
khom	3	Rcvrn	12.9571	14.465423 	14.8927 	13.87086 	15.12127 	14.56554 	15.49629 
khom	4	Rcvrn	13.3889	11.481672 	14.6668 	14.16881 	14.52234 	14.53230 	15.24016 
khom	5	Rcvrn		18.38757 	16.3124 	14.76305 	14.85718 		
khom	6	Rcvrn		14.68233 	15.6645 	15.52516 	14.96869 		
khom	7	Rcvrn				14.67207 			
khom	8	Rcvrn				14.80482 			
khom	9	Rcvrn				13.91610 			
khom	10	Rcvrn				13.90479 			
wt	1	Prdm1	6.5050	6.25554 	5.72921	5.782285 	6.743853 		
wt	2	Prdm1	5.4553	5.32621 	5.43286 	5.751863 	6.843858 		
wt	3	Prdm1	6.0347	4.60941 	5.57631 	5.356987 	7.710852 		
wt	4	Prdm1	5.1475	5.79741 	5.42616 	5.536213 	7.138936 		
wt	5	Prdm1		5.30850 	4.80487 	4.64260 	6.21764 		
wt	6	Prdm1		5.30991 	4.72397 	5.52684 	6.28762 		
wt	7	Prdm1			5.17863 				
ehet	1	Prdm1	5.5084	4.295536 	5.94577 	5.481753 	8.41620 		
ehet	2	Prdm1	5.2328	4.677503 	4.91406 	5.468165 	7.43447 		
ehet	3	Prdm1	4.6351	4.021656 	4.38282 	6.323514 	7.94277 		
ehet	4	Prdm1	4.1158	4.021656 	5.11301 	6.738685 	7.55084 		
ehet	5	Prdm1		4.84919 	5.23623 	6.17892 	6.72158 		
ehet	6	Prdm1		4.63130 	5.44608 	5.89748 	7.12767 		
ehom	1	Prdm1	5.7818	3.944844 	4.38034 	6.912408 	9.33946 		
ehom	2	Prdm1	5.2741	4.967392 	4.97011 	6.508308 	7.07256 		
ehom	3	Prdm1	5.1106	5.205062 	4.44912 	7.261281 	8.26872 		
ehom	4	Prdm1	5.4881	4.077839 	5.77337 	6.878218 	9.46507 		
ehom	5	Prdm1		4.97409 	4.48942 	6.23627 	8.74782 		
ehom	6	Prdm1		3.67871 	3.92306 		7.96365 		
khet	1	Prdm1	4.8650	5.504443 	5.05479 	5.89027 	11.57839 		
khet	2	Prdm1	4.5201	6.005698 	6.17685 	7.08511 	12.20358 		
khet	3	Prdm1	4.9167	4.444705 		5.801922 	11.59057 		
khet	4	Prdm1	5.3727	5.390140 	5.38114 	6.304347 	10.74538 		
khet	5	Prdm1		5.00066 	5.51987 		11.71807 		
khet	6	Prdm1		6.37772 	4.71768 		10.59589 		
